Location ID,Location,Value
AL-001,Autauga County,65.7
AL-003,Baldwin County,68.4
AL-005,Barbour County,66
AL-007,Bibb County,63.9
AL-009,Blount County,62.7
AL-011,Bullock County,65.7
AL-013,Butler County,66.4
AL-015,Calhoun County,63
AL-017,Chambers County,63.1
AL-019,Cherokee County,62.2
AL-021,Chilton County,64
AL-023,Choctaw County,66
AL-025,Clarke County,66.6
AL-027,Clay County,62.3
AL-029,Cleburne County,62.1
AL-031,Coffee County,66.9
AL-033,Colbert County,61.7
AL-035,Conecuh County,67.1
AL-037,Coosa County,63.7
AL-039,Covington County,67.1
AL-041,Crenshaw County,66.1
AL-043,Cullman County,62.1
AL-045,Dale County,67.1
AL-047,Dallas County,66.1
AL-049,DeKalb County,60.5
AL-051,Elmore County,65.5
AL-053,Escambia County,67.6
AL-055,Etowah County,62.6
AL-057,Fayette County,63.4
AL-059,Franklin County,61.4
AL-061,Geneva County,67.7
AL-063,Greene County,64.8
AL-065,Hale County,64.7
AL-067,Henry County,67.1
AL-069,Houston County,68.1
AL-071,Jackson County,60.7
AL-073,Jefferson County,63.6
AL-075,Lamar County,63.5
AL-077,Lauderdale County,61.3
AL-079,Lawrence County,61.2
AL-081,Lee County,64.3
AL-083,Limestone County,61.4
AL-085,Lowndes County,66.6
AL-087,Macon County,65.4
AL-089,Madison County,61.5
AL-091,Marengo County,65.5
AL-093,Marion County,62.1
AL-095,Marshall County,62
AL-097,Mobile County,68.2
AL-099,Monroe County,67.2
AL-101,Montgomery County,66.6
AL-103,Morgan County,61.8
AL-105,Perry County,64.9
AL-107,Pickens County,64.4
AL-109,Pike County,66
AL-111,Randolph County,62.4
AL-113,Russell County,65.4
AL-115,St. Clair County,63.1
AL-117,Shelby County,63.6
AL-119,Sumter County,65.3
AL-121,Talladega County,63.4
AL-123,Tallapoosa County,63.5
AL-125,Tuscaloosa County,64.2
AL-127,Walker County,63
AL-129,Washington County,66.8
AL-131,Wilcox County,66.5
AL-133,Winston County,61.4
AZ-001,Apache County,52.1
AZ-003,Cochise County,62.8
AZ-005,Coconino County,54.6
AZ-007,Gila County,61.5
AZ-009,Graham County,62.8
AZ-011,Greenlee County,58.5
AZ-012,La Paz County,72.9
AZ-013,Maricopa County,72.3
AZ-015,Mohave County,64
AZ-017,Navajo County,53.8
AZ-019,Pima County,69.3
AZ-021,Pinal County,70.4
AZ-023,Santa Cruz County,62.1
AZ-025,Yavapai County,61.1
AZ-027,Yuma County,73.9
AR-001,Arkansas County,63.3
AR-003,Ashley County,64.8
AR-005,Baxter County,58.1
AR-007,Benton County,58.6
AR-009,Boone County,57.7
AR-011,Bradley County,64.2
AR-013,Calhoun County,63.5
AR-015,Carroll County,57.9
AR-017,Chicot County,64.5
AR-019,Clark County,62.7
AR-021,Clay County,59.8
AR-023,Cleburne County,59.8
AR-025,Cleveland County,63
AR-027,Columbia County,63.7
AR-029,Conway County,61
AR-031,Craighead County,60.7
AR-033,Crawford County,60.4
AR-035,Crittenden County,62.5
AR-037,Cross County,61.7
AR-039,Dallas County,62.6
AR-041,Desha County,63.6
AR-043,Drew County,63.9
AR-045,Faulkner County,61.2
AR-047,Franklin County,60.1
AR-049,Fulton County,58.1
AR-051,Garland County,61.8
AR-053,Grant County,62.5
AR-055,Greene County,60.1
AR-057,Hempstead County,63
AR-059,Hot Spring County,62.4
AR-061,Howard County,62
AR-063,Independence County,59.7
AR-065,Izard County,58.3
AR-067,Jackson County,60.5
AR-069,Jefferson County,62.8
AR-071,Johnson County,59.5
AR-073,Lafayette County,64.1
AR-075,Lawrence County,59.7
AR-077,Lee County,62.7
AR-079,Lincoln County,63.4
AR-081,Little River County,63.8
AR-083,Logan County,60.9
AR-085,Lonoke County,62.3
AR-087,Madison County,57.5
AR-089,Marion County,57.9
AR-091,Miller County,64.4
AR-093,Mississippi County,61.4
AR-095,Monroe County,62.8
AR-097,Montgomery County,61.3
AR-099,Nevada County,63
AR-101,Newton County,57.3
AR-103,Ouachita County,63.2
AR-105,Perry County,61.6
AR-107,Phillips County,63.1
AR-109,Pike County,61.8
AR-111,Poinsett County,61.2
AR-113,Polk County,60.5
AR-115,Pope County,59.9
AR-117,Prairie County,62.4
AR-119,Pulaski County,62
AR-121,Randolph County,59.3
AR-123,St. Francis County,62.3
AR-125,Saline County,61.8
AR-127,Scott County,60.8
AR-129,Searcy County,57.8
AR-131,Sebastian County,61.5
AR-133,Sevier County,62.9
AR-135,Sharp County,58.7
AR-137,Stone County,58.4
AR-139,Union County,64.4
AR-141,Van Buren County,58.9
AR-143,Washington County,58.4
AR-145,White County,61.5
AR-147,Woodruff County,61.6
AR-149,Yell County,61.4
CA-001,Alameda County,60.5
CA-003,Alpine County,45.5
CA-005,Amador County,59.6
CA-007,Butte County,61.4
CA-009,Calaveras County,60
CA-011,Colusa County,63
CA-013,Contra Costa County,61.5
CA-015,Del Norte County,52.9
CA-017,El Dorado County,55.5
CA-019,Fresno County,57.2
CA-021,Glenn County,61.6
CA-023,Humboldt County,55.1
CA-025,Imperial County,75.1
CA-027,Inyo County,62.3
CA-029,Kern County,63.2
CA-031,Kings County,65.3
CA-033,Lake County,58.7
CA-035,Lassen County,48.3
CA-037,Los Angeles County,63.1
CA-039,Madera County,57.6
CA-041,Marin County,57.3
CA-043,Mariposa County,56.8
CA-045,Mendocino County,56.8
CA-047,Merced County,63.4
CA-049,Modoc County,48.3
CA-051,Mono County,45.8
CA-053,Monterey County,60
CA-055,Napa County,60.9
CA-057,Nevada County,53.8
CA-059,Orange County,65.4
CA-061,Placer County,55.1
CA-063,Plumas County,48.7
CA-065,Riverside County,69.8
CA-067,Sacramento County,63.4
CA-069,San Benito County,60.3
CA-071,San Bernardino County,67.9
CA-073,San Diego County,64.3
CA-075,San Francisco County,58.3
CA-077,San Joaquin County,63.6
CA-079,San Luis Obispo County,61
CA-081,San Mateo County,58.1
CA-083,Santa Barbara County,59.9
CA-085,Santa Clara County,59.7
CA-087,Santa Cruz County,58.7
CA-089,Shasta County,56.7
CA-091,Sierra County,48.7
CA-093,Siskiyou County,50.3
CA-095,Solano County,62.2
CA-097,Sonoma County,58.4
CA-099,Stanislaus County,62.9
CA-101,Sutter County,64.2
CA-103,Tehama County,60.2
CA-105,Trinity County,54
CA-107,Tulare County,55.8
CA-109,Tuolumne County,51.8
CA-111,Ventura County,59.3
CA-113,Yolo County,63
CA-115,Yuba County,62.2
CO-001,Adams County,50.8
CO-003,Alamosa County,44.6
CO-005,Arapahoe County,50.3
CO-007,Archuleta County,45.4
CO-009,Baca County,54.3
CO-011,Bent County,54.7
CO-013,Boulder County,45.9
CO-014,Broomfield County,51.7
CO-015,Chaffee County,39.3
CO-017,Cheyenne County,52.2
CO-019,Clear Creek County,38.7
CO-021,Conejos County,42
CO-023,Costilla County,43.9
CO-025,Crowley County,53.2
CO-027,Custer County,43
CO-029,Delta County,48.4
CO-031,Denver County,51.8
CO-033,Dolores County,44.9
