GeoFips,GeoName,2017,2018,2019,2020
1001,"Autauga, AL",41629,42931,44368,46814
1003,"Baldwin, AL",45397,46905,48270,50953
1005,"Barbour, AL",32759,34064,35572,37850
1007,"Bibb, AL",29060,30250,31540,34300
1009,"Blount, AL",34420,35905,36969,38808
1011,"Bullock, AL",26429,26841,28136,31944
1013,"Butler, AL",35231,35932,38073,39988
1015,"Calhoun, AL",35520,36482,37708,40195
1017,"Chambers, AL",32612,34055,36110,38508
1019,"Cherokee, AL",34379,35647,36381,37869
1021,"Chilton, AL",33724,34982,36471,38778
1023,"Choctaw, AL",36691,38200,39097,42231
1025,"Clarke, AL",34651,35437,37061,40822
1027,"Clay, AL",31954,33131,34185,37179
1029,"Cleburne, AL",35057,35668,35905,37734
1031,"Coffee, AL",40762,42176,43319,45262
1033,"Colbert, AL",36834,37601,38860,41941
1035,"Conecuh, AL",31109,32588,33596,36908
1037,"Coosa, AL",30178,31344,32548,34683
1039,"Covington, AL",34556,35487,35927,37930
1041,"Crenshaw, AL",35435,36283,36783,38161
1043,"Cullman, AL",38285,39525,41211,42659
1045,"Dale, AL",35361,36497,37831,40111
1047,"Dallas, AL",33845,34915,37033,41195
1049,"DeKalb, AL",31080,32196,33427,35100
1051,"Elmore, AL",41874,42956,44561,47270
1053,"Escambia, AL",32014,32445,34338,37137
1055,"Etowah, AL",35586,36583,37700,39852
1057,"Fayette, AL",33362,34231,35856,38001
1059,"Franklin, AL",32407,33951,34831,37362
1061,"Geneva, AL",33893,34708,36455,38358
1063,"Greene, AL",30978,30762,32534,35992
1065,"Hale, AL",35155,35615,37825,41190
1067,"Henry, AL",40614,42010,43738,45409
1069,"Houston, AL",40957,42611,44300,47072
1071,"Jackson, AL",35430,36672,38002,40089
1073,"Jefferson, AL",52485,54777,56599,58424
1075,"Lamar, AL",32270,33022,34549,37161
1077,"Lauderdale, AL",35567,36712,38135,40729
1079,"Lawrence, AL",32520,33900,35414,38098
1081,"Lee, AL",37145,38184,40439,42468
1083,"Limestone, AL",41539,43495,44841,47695
1085,"Lowndes, AL",38990,39544,41449,44921
1087,"Macon, AL",31170,32321,34213,37834
1089,"Madison, AL",49701,51759,54169,57128
1091,"Marengo, AL",36931,39217,40297,43854
1093,"Marion, AL",31708,32459,33433,36330
1095,"Marshall, AL",34901,35990,37913,40045
1097,"Mobile, AL",37061,38195,40003,42823
1099,"Monroe, AL",32028,32808,34489,38192
1101,"Montgomery, AL",42517,43442,44597,47776
1103,"Morgan, AL",38275,39908,41895,44679
1105,"Perry, AL",30717,30795,32198,36217
1107,"Pickens, AL",32281,32981,34590,36861
1109,"Pike, AL",36110,36785,38057,40342
1111,"Randolph, AL",32032,32974,33708,35208
1113,"Russell, AL",32569,32270,33796,36526
1115,"St. Clair, AL",37674,39658,41015,43279
1117,"Shelby, AL",53196,55482,57793,59588
1119,"Sumter, AL",30360,30492,32057,35310
1121,"Talladega, AL",33196,34277,35717,38300
1123,"Tallapoosa, AL",39138,40576,42544,45058
1125,"Tuscaloosa, AL",37746,39062,40329,42868
1127,"Walker, AL",38936,40267,41976,44095
1129,"Washington, AL",35093,36196,37568,40371
1131,"Wilcox, AL",31221,32406,33957,38273
1133,"Winston, AL",33485,34143,35508,38382
2010,"Aleutian Islands Census Area, AK*",(NA),(NA),(NA),(NA)
2013,"Aleutians East Borough, AK*",58627,56806,61132,59574
2016,"Aleutians West Census Area, AK*",52363,55124,56296,59674
2020,"Anchorage Municipality, AK",63920,66928,68803,70477
2050,"Bethel Census Area, AK*",42441,44902,45653,47936
2060,"Bristol Bay Borough, AK",125718,141017,145276,152678
2063,"Chugach Census Area, AK*",(NA),(NA),(NA),69369
2066,"Copper River Census Area, AK*",(NA),(NA),(NA),49783
2068,"Denali Borough, AK*",79541,85673,82610,72967
2070,"Dillingham Census Area, AK*",57912,58932,60868,60792
2090,"Fairbanks North Star Borough, AK",53881,56888,59194,62254
2100,"Haines Borough, AK*",63230,70233,70724,64956
2105,"Hoonah-Angoon Census Area, AK*",60824,62813,65367,64708
