Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1987,111.9,111.9,112.3,112.8,113.3,115.5,115.9,116.7,117.1,115.1,115.7,115.7,114.5,112.9,116.0
1988,115.3,116.6,116.9,117.1,117.0,118.9,119.8,120.1,122.0,121.6,121.0,121.3,119.0,117.0,121.0
1989,121.5,122.2,123.0,123.6,123.9,125.7,126.4,126.4,127.1,126.8,126.7,126.5,125.0,123.3,126.7
1990,128.1,129.2,129.5,130.4,130.4,131.7,132.0,133.2,133.8,133.3,134.2,134.6,131.7,129.9,133.5
1991,135.1,135.5,136.2,136.1,136.8,137.3,137.3,137.6,138.3,138.0,138.0,138.3,137.0,136.2,137.9
1992,138.9,139.2,139.7,139.8,140.5,141.2,141.4,141.9,142.7,142.1,142.4,142.9,141.1,139.9,142.2
1993,143.2,143.6,144.1,144.7,145.7,145.6,145.5,146.1,146.7,147.2,146.4,146.1,145.4,144.5,146.3
1994,146.5,146.8,147.6,147.9,147.6,148.1,148.3,149.8,150.2,149.4,150.4,150.5,148.6,147.4,149.8
1995,151.8,152.3,152.6,153.1,153.0,153.5,153.6,153.8,154.0,154.3,154.0,153.8,153.3,152.7,153.9
1996,154.6,155.2,156.3,156.4,156.9,157.6,157.7,158.1,158.3,158.8,159.4,159.7,157.4,156.2,158.7
1997,160.4,161.1,161.0,160.9,161.1,161.7,161.7,162.5,162.1,162.5,162.9,162.8,161.7,161.0,162.4
1998,162.8,163.1,164.1,164.8,165.6,166.0,166.5,165.4,165.3,165.7,165.4,165.1,165.0,164.4,165.6
1999,166.1,166.4,167.0,167.6,168.2,168.9,169.4,169.3,169.7,169.7,169.3,169.2,168.4,167.4,169.4
2000,170.2,171.4,172.2,171.9,173.7,176.0,174.6,173.7,174.8,175.4,176.0,175.8,173.8,172.6,175.1
2001,178.1,178.5,177.1,178.4,179.8,179.2,177.7,178.1,179.7,178.1,177.4,177.9,178.3,178.5,178.2
2002,177.9,178.7,179.8,180.9,181.4,182.1,181.2,181.6,182.1,182.8,183.2,182.4,181.2,180.1,182.2
2003,182.7,184.1,184.8,183.4,183.4,184.1,184.1,184.5,186.1,185.8,185.6,185.5,184.5,183.8,185.3
2004,185.4,186.4,186.3,187.2,188.7,189.1,189.2,190.2,190.0,190.8,190.7,189.6,188.6,187.2,190.1
2005,189.9,190.5,191.3,193.2,193.3,194.0,194.2,195.8,198.3,197.9,197.3,196.4,194.3,192.0,196.7
2006,197.5,197.2,197.6,197.7,198.4,199.0,199.3,200.4,199.6,197.5,197.9,197.8,198.3,197.9,198.8
2007,199.401,200.630,202.483,204.019,205.686,206.092,205.561,205.813,206.454,206.696,207.821,207.155,204.818,203.052,206.583
2008,208.757,209.526,211.542,212.662,214.932,215.738,217.459,215.971,215.465,213.363,209.053,205.959,212.536,212.193,212.878
2009,207.616,207.367,207.462,207.886,209.809,211.010,210.906,211.441,211.345,211.708,212.206,211.185,209.995,208.525,211.465
2010,212.104,212.456,212.952,212.929,212.984,212.186,212.535,212.784,213.339,213.332,213.066,213.778,212.870,212.602,213.139
2011,215.155,216.192,217.880,218.762,220.094,220.182,219.277,219.688,220.027,219.592,219.181,218.180,218.684,218.044,219.324
2012,219.585,219.626,222.351,222.416,222.262,222.138,221.611,222.967,223.611,223.227,222.425,221.838,222.005,221.396,222.613
2013,222.251,224.681,224.433,224.522,225.645,225.864,225.375,225.525,225.161,224.422,223.703,222.960,224.545,224.566,224.524
2014,225.027,226.217,228.784,229.848,229.612,230.477,229.633,229.753,229.829,228.987,227.184,226.262,228.468,228.328,228.608
2015,225.852,225.763,227.405,227.704,228.494,228.837,228.588,229.527,228.826,228.600,227.641,226.271,227.792,227.343,228.242
2016,227.977,227.438,227.778,229.197,229.247,230.341,228.454,228.956,230.282,230.506,230.969,230.476,229.302,228.663,229.941
2017,232.155,232.491,232.225,233.066,233.443,233.407,233.514,234.200,235.177,234.159,235.206,234.293,233.611,232.798,234.425
2018,236.267,236.306,236.388,237.940,238.910,238.540,237.870,238.098,238.957,238.892,237.511,236.796,237.706,237.392,238.021
2019,238.218,239.669,240.019,239.726,241.758,240.835,241.589,241.985,242.393,243.236,242.661,242.079,241.181,240.038,242.324
2020,244.361,244.407,242.655,240.364,242.650,243.475,244.046,244.341,245.745,245.584,244.610,244.235,243.873,242.985,244.760
2021,246.008,247.387,248.984,251.491,253.934,254.974,255.929,256.078,256.881,258.621,259.254,260.368,254.159,250.463,257.855
