Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1987,113.4,114.7,115.5,116,116.8,116.5,116.5,117.3,118,118.6,118.2,118.5,116.7,115.5,117.9
1988,118.9,119.7,120.6,121.1,122,122,122.1,122.6,123.4,124,124.1,124.2,122.1,120.7,123.4
1989,124.6,125.5,126.2,127.2,128.3,128.7,129,128.9,130.1,130,130,130.6,128.3,126.8,129.8
1990,132.1,133.6,134.5,134.2,134.6,135,135.6,136.3,137.7,138.7,138.9,139.2,135.9,134,137.7
1991,140,139.9,139.7,140.7,140.8,140.8,141.5,141.7,142.6,142.9,143.5,143.1,141.4,140.3,142.6
1992,144.3,144.9,145.5,145.8,146,146.2,146.7,146.9,147.4,148.4,148.2,148.2,146.5,145.5,147.6
1993,149.2,150,149.8,149.9,150.1,149.7,149.8,149.9,150.2,150.9,151.6,151.9,150.3,149.8,150.7
1994,152.2,152.2,152.5,152,151.4,151.3,151.7,152,152.7,153.4,152.9,153.4,152.3,151.9,152.7
1995,154.3,154.5,154.6,154.7,155.1,154.8,154.5,154.4,154.6,155.2,154.4,154.6,154.6,154.7,154.6
1996,155.7,156.2,157.3,157.7,157.5,156.7,157.6,157.3,158.2,158.8,158.4,158.3,157.5,156.9,158.1
1997,159.1,159.2,159.8,159.9,159.5,159.4,159.5,159.7,160.5,161.1,160.7,161.2,160,159.5,160.5
1998,161,161.1,161.4,161.8,162.3,162.2,162.1,162.6,162.6,163.2,163.4,163.5,162.3,161.6,162.9
1999,164.2,164.6,165,166.6,166.2,165.4,165.8,166.3,167.2,167.2,167.1,167.3,166.1,165.3,166.8
2000,167.9,169.3,170.7,170.6,171.1,171,171.7,172.2,173.3,173.8,173.5,173.5,171.6,170.1,173
2001,174.2,175.4,176.2,176.6,177.5,178.9,178.3,178.4,178.8,178.3,178.1,177.1,177.3,176.5,178.2
2002,178.9,180.1,181.1,182.2,182.6,181.9,182.2,183,183.4,183.7,184,183.7,182.2,181.1,183.3
2003,185.2,186.5,188.2,187.6,186.4,186.3,186.3,186.9,188.2,187.8,187.1,187,187,186.7,187.2
2004,188.5,190.1,191.5,191.9,193.3,193.7,193.4,193.1,194.5,196.3,196.9,195.2,193.2,191.5,194.9
2005,195.4,197.4,199.2,201.1,201.5,200.7,201.4,203.1,205.8,206.9,205.6,203.9,201.8,199.2,204.5
2006,206,207.5,208.5,210.5,212.4,211.1,211.4,211.9,212.9,211.4,211.1,210.6,210.4,209.3,211.6
2007,212.584,214.76,216.5,217.845,218.596,217.273,217.454,217.33,217.697,218.696,219.943,219.373,217.338,216.26,218.416
2008,220.918,221.431,223.606,224.625,226.651,229.033,229.886,228.484,227.449,226.159,222.229,219.62,225.008,224.377,225.638
2009,220.719,221.439,221.376,221.693,222.522,223.906,224.01,224.507,225.226,225.264,224.317,223.643,223.219,221.943,224.495
2010,224.61,224.62,225.483,225.916,226.438,225.877,225.991,226.373,226.048,226.794,225.941,226.639,225.894,225.491,226.298
2011,228.652,229.729,232.241,233.319,233.367,232.328,231.303,231.833,233.022,233.049,232.731,231.567,231.928,231.606,232.251
2012,233.441,234.537,236.941,236.866,237.032,236.025,235.776,237.222,238.104,240.111,237.675,236.042,236.648,235.807,237.488
2013,238.015,239.753,239.995,239.043,239.346,239.223,238.92,239.219,239.611,239.94,238.677,238.742,239.207,239.229,239.185
2014,239.857,241.059,242.491,242.437,243.362,243.528,243.727,243.556,243.623,243.341,241.753,240.475,242.434,242.122,242.746
2015,239.724,241.297,243.738,243.569,246.093,245.459,247.066,246.328,245.431,245.812,245.711,245.357,244.632,243.313,245.951
2016,247.155,247.113,247.873,248.368,249.554,249.789,249.784,249.7,250.145,251.098,250.185,250.189,249.246,248.309,250.184
2017,252.373,253.815,254.525,254.971,255.674,255.275,256.023,256.739,257.89,258.883,259.135,259.22,256.21,254.439,257.982
2018,261.235,263.012,264.158,265.095,266.148,265.522,266.007,266.665,268.032,269.482,268.56,267.631,265.962,264.195,267.73
2019,269.468,269.608,271.311,273.945,274.479,274.38,274.682,274.579,276.054,278.075,277.239,275.553,274.114,272.199,276.03
2020,277.755,278.657,276.589,275.853,276.842,278.121,279.899,280.116,279.366,279.947,280.102,279.56,278.567,277.303,279.832
2021,280.178,281.347,282.648,285.808,287.62,289.218,290.89,291.333,292.209,294.961,296.79,297.925,289.244,284.47,294.018
