Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1987,109.6,109.7,110.3,110.9,111.1,112.1,112.3,113.1,113.6,113.5,113.5,113.3,111.9,110.6,113.2
1988,113.4,113.7,114.3,114.9,115.5,116.0,116.6,117.2,117.7,118.1,118.1,118.2,116.1,114.6,117.7
1989,118.7,119.3,119.8,120.8,121.3,121.8,122.0,122.0,122.5,123.0,123.2,123.2,121.5,120.3,122.7
1990,124.5,124.9,125.5,125.8,126.0,126.9,126.9,128.4,129.4,130.0,130.4,130.2,127.4,125.6,129.2
1991,130.5,130.8,131.3,131.5,132.3,132.6,132.4,132.8,133.4,133.6,134.0,134.1,132.4,131.5,133.4
1992,134.1,134.3,134.8,135.1,135.5,136.0,136.3,136.7,137.2,137.4,137.6,137.7,136.1,135.0,137.2
1993,138.1,138.6,139.0,139.4,139.8,140.0,140.0,140.4,140.9,141.5,141.4,141.2,140.0,139.2,140.9
1994,141.5,142.1,142.6,142.9,143.3,144.0,144.3,145.2,145.6,145.3,145.8,145.7,144.0,142.7,145.3
1995,146.1,146.7,147.3,148.1,148.3,148.7,148.8,148.9,149.4,149.6,149.5,149.5,148.4,147.5,149.3
1996,150.2,150.8,151.7,152.3,152.7,152.9,153.2,153.4,154.0,154.4,155.0,155.3,153.0,151.8,154.2
1997,155.5,155.9,155.9,156.1,156.3,156.7,156.6,157.2,157.5,157.7,157.7,157.3,156.7,156.1,157.3
1998,157.6,158.0,158.4,159.0,159.4,159.5,159.8,159.5,159.9,160.1,160.1,159.8,159.3,158.7,159.9
1999,160.4,160.5,161.0,162.2,162.2,162.5,162.9,163.2,164.3,164.3,164.6,164.4,162.7,161.5,164.0
2000,164.9,165.9,167.1,167.0,167.5,169.7,168.8,168.2,170.0,170.1,170.3,170.2,168.3,167.0,169.6
2001,171.9,172.1,171.7,172.8,174.2,173.8,172.5,173.0,174.6,172.6,172.5,171.9,172.8,172.8,172.9
2002,172.1,172.5,173.6,174.7,174.8,175.3,175.3,175.8,176.2,176.3,176.1,175.5,174.9,173.8,175.9
2003,176.2,177.8,178.6,177.8,177.7,178.4,178.1,178.8,179.5,179.1,178.9,178.4,178.3,177.8,178.8
2004,179.4,180.2,181.0,181.5,182.9,183.3,183.2,183.3,183.6,184.5,184.8,183.8,182.6,181.4,183.9
2005,184.1,185.2,186.3,187.7,187.4,187.8,188.4,189.7,192.5,192.1,190.3,189.7,188.4,186.4,190.5
2006,190.8,190.7,192.0,193.0,193.6,194.1,194.6,195.1,193.7,192.3,192.8,192.9,193.0,192.4,193.6
2007,193.068,194.458,196.389,197.405,199.194,199.263,198.989,198.551,199.714,199.455,200.762,200.227,198.123,196.629,199.616
2008,201.427,201.896,203.723,205.393,207.168,208.968,210.071,209.351,209.252,206.019,201.737,199.582,205.382,204.763,206.002
2009,200.815,201.453,202.021,202.327,203.195,205.350,204.814,205.632,205.601,205.706,206.247,205.613,204.064,202.527,205.602
2010,206.564,206.563,207.359,207.777,207.987,207.886,208.211,208.639,208.788,208.689,208.816,209.270,208.046,207.356,208.736
2011,210.388,211.090,212.954,214.535,215.899,215.954,216.099,216.586,216.968,215.653,215.614,215.173,214.743,213.470,216.016
2012,216.368,216.855,218.975,219.405,219.145,219.017,218.956,220.462,221.125,220.375,219.483,219.033,219.100,218.294,219.906
2013,219.282,221.599,222.121,221.931,223.049,223.775,222.902,223.046,223.252,222.171,221.718,221.194,222.170,221.960,222.381
2014,222.247,223.493,225.485,226.214,226.565,227.588,226.997,226.587,226.913,225.793,224.396,222.821,225.425,225.265,225.585
2015,221.545,222.301,223.550,223.797,224.732,225.946,225.853,225.830,225.184,225.050,224.009,222.722,224.210,223.645,224.775
2016,223.301,223.196,224.621,225.609,226.476,227.835,226.786,227.097,227.636,227.358,226.673,226.794,226.115,225.173,227.057
2017,228.279,228.633,228.824,229.682,229.705,229.780,229.820,230.443,231.030,230.660,231.084,230.548,229.874,229.151,230.598
2018,232.028,232.512,232.931,233.913,235.065,235.455,235.346,235.276,235.524,235.680,234.292,233.458,234.290,233.651,234.929
2019,233.837,235.444,236.793,237.510,238.219,238.288,238.760,238.786,238.847,239.243,238.850,238.734,237.776,236.682,238.870
2020,239.690,240.421,239.163,236.474,237.291,239.259,240.430,241.362,241.878,241.740,241.316,241.453,240.040,238.716,241.363
2021,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,252.242,247.511,256.973
