Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1987,113.3,113.6,114.2,115,115.4,115.8,116,116.9,117.5,118.1,118.3,118.3,116,114.6,117.5
1988,118.9,119.2,119.6,120.4,120.7,121.4,121.8,122.5,123.9,124.1,124.4,124.5,121.8,120,123.5
1989,125.4,125.8,126.7,127.4,128.3,128.5,129,129.1,130,130.6,131.1,131.3,128.6,127,130.2
1990,132.9,133.1,134.1,134.5,134.7,134.9,136,137.4,138.6,139.4,139.7,139.7,136.3,134,138.5
1991,140.9,141.2,141.4,141.6,141.7,142.1,142.4,142.9,143.6,143.7,144.3,144.6,142.5,141.5,143.6
1992,144.9,145.3,146.2,146.3,146.3,147,147.5,148.2,148.5,148.9,149,148.9,147.3,146,148.5
1993,149.7,150.4,150.9,151.1,150.8,151.2,151.4,151.7,151.8,152.5,152.7,152.7,151.4,150.7,152.1
1994,153.2,154,154.3,154.4,154.2,154.8,155.2,155.9,156.1,156.4,156.7,156.3,155.1,154.2,156.1
1995,157.1,157.6,158,158.3,158.5,158.9,159.2,159.7,160,160.3,160.5,160.5,159.1,158.1,160
1996,161.4,162.2,162.8,162.9,163,163.1,163.4,164,164.6,165.1,165.4,165.7,163.6,162.6,164.7
1997,166.2,166.9,167.3,167.1,166.8,167,167.6,167.8,168.4,168.7,168.5,168.4,167.6,166.9,168.2
1998,168.8,169.1,169.3,169.5,169.4,169.6,169.9,170.5,170.6,171.3,171.2,171.2,170,169.3,170.8
1999,171.4,171.6,171.9,172.8,172.8,173.1,173.4,174.1,174.8,175.5,175.5,175.5,173.5,172.3,174.8
2000,176.2,177.6,178.5,178.5,178.4,179,179.8,179.9,180.7,181.2,181.5,181.3,179.4,178,180.7
2001,182.2,182.8,183.7,184.2,184.6,185.3,185,185.1,185.1,185,185,184.2,184.4,183.8,184.9
2002,184.9,186.1,187,187.8,187.7,187.8,188.3,189.3,189.5,189.9,190.1,189.6,188.2,186.9,189.5
2003,190.5,191.7,193,192.6,192.7,192.8,193.5,194.3,195,195.4,195.1,194.9,193.5,192.2,194.7
2004,195.9,196.8,198.6,199.4,199.9,201.1,201,201,201.2,202.5,202.6,201.9,200.2,198.6,201.7
2005,202.6,203.6,206,206.9,206.2,206.2,207.9,208.7,210.8,211.5,210,209,207.5,205.3,209.7
2006,211,211.6,212.8,214.7,215.7,216.7,217.5,218.1,216.3,215.2,214.8,215.2,215,213.8,216.2
2007,215.813,216.651,218.334,219.501,220.591,221.579,221.945,221.559,221.436,221.951,223.356,223.425,220.512,218.745,222.279
2008,224.325,225.213,226.926,228.133,230.089,232.649,234.545,233.788,232.841,230.837,227.236,225.091,229.306,227.889,230.723
2009,225.436,226.754,227.309,227.84,228.136,229.93,230.154,230.883,231.2,231.304,231.708,231.462,229.343,227.568,231.119
2010,232.294,232.382,233.188,233.615,234.13,233.834,233.885,234.15,234.027,234.671,235.094,235.141,233.868,233.241,234.495
2011,235.969,237.11,239.074,240.267,241.566,241.69,242.282,243.033,243.323,243.014,242.652,241.987,240.997,239.279,242.715
2012,242.879,243.85,245.125,245.85,245.709,245.201,244.984,246.252,247.409,247.564,247.097,246.456,245.698,244.769,246.627
2013,247.277,248.665,248.719,248.464,248.584,248.851,249.411,249.858,250.231,249.32,249.503,249.567,249.038,248.427,249.648
2014,251.045,251.233,252.413,252.506,253.598,253.555,253.833,253.185,253.154,252.73,251.781,250.519,252.463,252.392,252.534
2015,250.016,250.619,251.451,251.76,252.77,253.626,253.405,252.903,252.922,252.504,252.573,251.67,252.185,251.707,252.663
2016,251.739,252.25,252.854,254.27,255.023,255.471,255.386,255.545,256.085,256.605,256.541,256.427,254.85,253.601,256.098
2017,258.073,258.768,258.51,259.165,259.386,259.335,258.833,259.508,260.875,260.58,260.63,260.791,259.538,258.873,260.203
2018,262.188,263.26,263.556,264.669,265.84,265.95,265.83,266.425,266.709,266.464,265.487,265.286,265.139,264.244,266.034
2019,266.109,266.706,268.025,269.07,269.744,270.133,270.381,270.548,270.563,270.348,270.643,270.429,269.392,268.298,270.485
2020,272.316,273.08,272.531,271.325,271.345,272.283,273.347,273.597,273.925,273.374,273.543,274.225,272.908,272.147,273.669
2021,275.427,276.473,278.197,280.234,281.858,284.741,285.22,285.63,286.423,288.236,289.835,290.405,283.557,279.488,287.625
