,County & State,FIPS,2017,2018,2019,2020,2021
0,"Autauga County,  Alabama",01001,145203,144361,153716,160972,166318
1,"Baldwin County,  Alabama",01003,185313,205764,209494,232730,243643
2,"Barbour County,  Alabama",01005,97533,91965,100423,94615,99052
3,"Bibb County,  Alabama",01007,116052,110683,101799,97807,102324
4,"Blount County,  Alabama",01009,135375,128203,131548,134696,140916
5,"Bullock County,  Alabama",01011,72568,68794,83776,73334,76773
6,"Butler County,  Alabama",01013,83464,91450,95450,100039,104730
7,"Calhoun County,  Alabama",01015,114076,125033,129654,128249,133396
8,"Chambers County,  Alabama",01017,85473,88979,95559,101291,106041
9,"Cherokee County,  Alabama",01019,111180,119771,133068,128727,134763
10,"Chilton County,  Alabama",01021,113114,103444,107812,113089,118312
11,"Choctaw County,  Alabama",01023,64634,71059,81290,77298,80923
12,"Clarke County,  Alabama",01025,91927,96291,108963,117356,122859
13,"Clay County,  Alabama",01027,88964,91965,110476,112453,117726
14,"Cleburne County,  Alabama",01029,114247,115137,121070,121528,127228
15,"Coffee County,  Alabama",01031,150637,152212,161174,153763,160973
16,"Colbert County,  Alabama",01033,107845,110193,117664,128127,135363
17,"Conecuh County,  Alabama",01035,74155,78371,82803,84496,88458
18,"Coosa County,  Alabama",01037,82829,89906,95018,87625,91735
19,"Covington County,  Alabama",01039,99014,99071,103233,101813,106587
20,"Crenshaw County,  Alabama",01041,74683,79092,85938,84496,88458
21,"Cullman County,  Alabama",01043,134034,127392,138041,143539,150270
22,"Dale County,  Alabama",01045,107582,111224,119016,116834,122313
23,"Dallas County,  Alabama",01047,86214,83212,89289,86895,90970
24,"DeKalb County,  Alabama",01049,105267,117918,121070,120173,125808
25,"Elmore County,  Alabama",01051,162230,160008,172840,183476,189570
26,"Escambia County,  Alabama",01053,99225,97321,106152,103691,108553
27,"Etowah County,  Alabama",01055,99183,118000,127089,138106,146928
28,"Fayette County,  Alabama",01057,79550,85683,90586,92320,96649
29,"Franklin County,  Alabama",01059,90551,90215,94910,99101,103748
30,"Geneva County,  Alabama",01061,81253,90537,98297,104262,107861
31,"Greene County,  Alabama",01063,75002,70797,68952,85554,88885
32,"Hale County,  Alabama",01065,94184,92862,96263,95024,98724
33,"Henry County,  Alabama",01067,101094,116110,122578,122758,126997
34,"Houston County,  Alabama",01069,135388,143127,141321,160785,166336
35,"Jackson County,  Alabama",01071,104621,108134,113827,109428,114559
36,"Jefferson County,  Alabama",01073,165611,168071,176065,179173,187447
37,"Lamar County,  Alabama",01075,71828,73634,83452,84392,88349
38,"Lauderdale County,  Alabama",01077,132284,147059,163589,160689,169764
39,"Lawrence County,  Alabama",01079,100923,99490,111355,117074,125544
40,"Lee County,  Alabama",01081,183622,169287,192531,193475,202641
41,"Limestone County,  Alabama",01083,161163,164894,177835,198044,212741
42,"Lowndes County,  Alabama",01085,69672,63599,68907,72932,75355
43,"Macon County,  Alabama",01087,79021,79401,85938,84288,88240
44,"Madison County,  Alabama",01089,187670,189759,207726,209268,224798
45,"Marengo County,  Alabama",01091,96052,90730,97288,88043,92172
46,"Marion County,  Alabama",01093,86108,89803,93505,96806,101345
47,"Marshall County,  Alabama",01095,127989,125229,147229,141453,148086
48,"Mobile County,  Alabama",01097,126829,139287,140607,145328,154093
49,"Monroe County,  Alabama",01099,85896,90626,111341,106611,111611
50,"Montgomery County,  Alabama",01101,123958,129420,140101,139925,144573
51,"Morgan County,  Alabama",01103,137636,144145,145115,160620,172240
52,"Perry County,  Alabama",01105,70135,71162,71236,67806,70985
53,"Pickens County,  Alabama",01107,86743,94540,105395,100144,104840
54,"Pike County,  Alabama",01109,111603,112459,126907,125180,131050
55,"Randolph County,  Alabama",01111,90763,87743,95883,100248,104949
56,"Russell County,  Alabama",01113,113393,118223,128489,127967,133926
57,"St. Clair County,  Alabama",01115,163474,152438,181446,173481,181493
58,"Shelby County,  Alabama",01117,210807,217485,229866,241989,253164
59,"Sumter County,  Alabama",01119,77117,71574,80641,77611,81251
60,"Talladega County,  Alabama",01121,103287,106280,125177,124658,130504
61,"Tallapoosa County,  Alabama",01123,109381,110193,116530,114018,119364
62,"Tuscaloosa County,  Alabama",01125,173356,175057,180480,191326,198775
63,"Walker County,  Alabama",01127,96695,109214,115935,142917,149517
64,"Washington County,  Alabama",01129,90657,86404,92099,92946,97304
65,"Wilcox County,  Alabama",01131,81771,84035,88856,82827,86711
66,"Winston County,  Alabama",01133,86214,85374,94910,89816,94028
67,"Aleutians East Borough,  Alaska",02013,138525,129193,131679,123980,127894
68,"Aleutians West Census Area,  Alaska",02016,238933,247405,265392,288702,297816
69,"Anchorage Municipality,  Alaska",02020,309068,320054,331849,326776,336049
70,"Bethel Census Area,  Alaska",02050,182029,158099,117976,86445,89174
71,"Bristol Bay Borough,  Alaska",02060,205976,193428,192166,195225,201388
72,"Denali Borough,  Alaska",02068,208943,232278,217859,230589,237869
73,"Dillingham Census Area,  Alaska",02070,214325,196328,196127,189745,195735
74,"Fairbanks North Star Borough,  Alaska",02090,243275,246981,266907,274361,283638
75,"Haines Borough,  Alaska",02100,232232,251860,276312,262644,270936
76,"Juneau City and Borough,  Alaska",02110,355379,355463,368273,357672,368963
77,"Kenai Peninsula Borough,  Alaska",02122,240691,243054,256721,250443,258349
78,"Ketchikan Gateway Borough,  Alaska",02130,277382,275274,291514,299766,309230
79,"Kodiak Island Borough,  Alaska",02150,269582,277346,294404,291701,300910
80,"Lake and Peninsula Borough,  Alaska",02164,159288,122770,128681,118810,122561
81,"Matanuska-Susitna Borough,  Alaska",02170,241226,254043,260067,271933,279649
82,"Nome Census Area,  Alaska",02180,135670,148153,160156,159861,164908
83,"North Slope Borough,  Alaska",02185,155004,159445,153090,157690,162668
84,"Northwest Arctic Borough,  Alaska",02188,136768,151053,140672,146212,150828
85,"Sitka City and Borough,  Alaska",02220,371966,363545,373947,370804,382510
86,"Southeast Fairbanks Census Area,  Alaska",02240,216742,198608,196983,176716,182295
87,"Valdez-Cordova Census Area,  Alaska",02261,220477,261288,246015,229762,237015
88,"Yakutat City and Borough,  Alaska",02282,182358,191666,181246,209185,215789
89,"Yukon-Koyukuk Census Area,  Alaska",02290,97550,83504,83183,79103,81601
90,"Apache County,  Arizona",04001,63714,52388,56441,79194,87256
91,"Cochise County,  Arizona",04003,160269,165013,153459,163923,180611
92,"Coconino County,  Arizona",04005,257984,293469,308890,336636,369376
93,"Gila County,  Arizona",04007,163518,162892,170078,176484,194450
94,"Graham County,  Arizona",04009,150237,130971,137055,147638,162667
95,"Greenlee County,  Arizona",04011,100767,92793,88924,89200,98281
96,"La Paz County,  Arizona",04012,84195,82082,83744,84303,92886
97,"Maricopa County,  Arizona",04013,261521,278337,294674,317718,350857
98,"Mohave County,  Arizona",04015,155215,173016,203346,201755,222856
99,"Navajo County,  Arizona",04017,131902,147302,134465,157537,173575
100,"Pima County,  Arizona",04019,183398,194120,209380,225874,245311
101,"Pinal County,  Arizona",04021,179274,195216,213127,230822,254897
102,"Santa Cruz County,  Arizona",04023,166930,146772,160257,160943,177328
104,"Yuma County,  Arizona",04027,126512,137685,147375,150182,162831
105,"Arkansas County,  Arkansas",05001,79476,82898,87229,91858,95812
106,"Ashley County,  Arkansas",05003,69068,70406,74604,79210,82619
107,"Baxter County,  Arkansas",05005,126572,128425,134391,138306,144259
108,"Benton County,  Arkansas",05007,186773,189735,207816,216425,232572
109,"Boone County,  Arkansas",05009,117426,120373,130322,128871,134418
110,"Bradley County,  Arkansas",05011,72222,76704,81177,93103,97110
111,"Calhoun County,  Arkansas",05013,72537,73297,72412,72574,75698
112,"Carroll County,  Arkansas",05015,122156,125018,132304,141935,148044
113,"Chicot County,  Arkansas",05017,60237,65038,65735,72263,75374
114,"Clark County,  Arkansas",05019,91670,98074,105280,115704,120684
115,"Clay County,  Arkansas",05021,67175,72265,75543,80247,83700
116,"Cleburne County,  Arkansas",05023,132985,131109,138147,134677,140474
117,"Cleveland County,  Arkansas",05025,84523,88479,84792,99883,103082
118,"Columbia County,  Arkansas",05027,83050,78665,86394,84912,88567
119,"Conway County,  Arkansas",05029,96191,101893,105802,111557,116359
120,"Craighead County,  Arkansas",05031,142257,141023,156024,163659,171636
121,"Crawford County,  Arkansas",05033,116688,116924,121576,118862,125595
122,"Crittenden County,  Arkansas",05035,119272,112371,117639,121430,128570
123,"Cross County,  Arkansas",05037,86624,81969,87229,89267,93108
124,"Dallas County,  Arkansas",05039,65178,66587,69491,72989,76130
125,"Desha County,  Arkansas",05041,62339,58534,65526,72885,76022
126,"Drew County,  Arkansas",05043,98398,96215,101837,103470,107923
127,"Faulkner County,  Arkansas",05045,166195,167486,165624,176806,183903
128,"Franklin County,  Arkansas",05047,100035,94162,97968,104108,110005
129,"Fulton County,  Arkansas",05049,101657,94254,97559,89577,93433
130,"Garland County,  Arkansas",05051,142239,145857,155296,146804,152807
131,"Grant County,  Arkansas",05053,114874,125209,131650,129588,134790
132,"Greene County,  Arkansas",05055,113221,113972,118009,123169,128470
133,"Hempstead County,  Arkansas",05057,78529,78665,82847,84083,87702
134,"Hot Spring County,  Arkansas",05059,87570,91776,95889,100256,104571
135,"Howard County,  Arkansas",05061,88200,97144,96515,99427,103706
136,"Independence County,  Arkansas",05063,100921,107778,109766,102537,106951
137,"Izard County,  Arkansas",05065,81998,81969,85038,85741,89431
138,"Jackson County,  Arkansas",05067,63707,63283,69804,69049,72021
139,"Jefferson County,  Arkansas",05069,78142,87058,85916,83939,86627
140,"Johnson County,  Arkansas",05071,94508,98487,103193,107307,111925
141,"Lafayette County,  Arkansas",05073,64548,68032,66048,66976,69858
142,"Lawrence County,  Arkansas",05075,67806,79594,78986,79625,83051
143,"Lee County,  Arkansas",05077,62550,69271,75856,76721,80023
144,"Lincoln County,  Arkansas",05079,59475,67069,76007,78487,81000
145,"Little River County,  Arkansas",05081,79370,74742,75334,80765,84241
146,"Logan County,  Arkansas",05083,87465,93325,94115,102641,107059
147,"Lonoke County,  Arkansas",05085,146960,145283,138900,159749,166162
148,"Madison County,  Arkansas",05087,116388,114051,113258,126309,135733
149,"Marion County,  Arkansas",05089,108175,121095,124165,125139,130525
150,"Miller County,  Arkansas",05091,104142,110746,119367,113853,116472
151,"Mississippi County,  Arkansas",05093,83681,84033,86290,87608,91378
152,"Monroe County,  Arkansas",05095,57820,56263,67091,63658,66398
153,"Montgomery County,  Arkansas",05097,86413,100035,111332,106581,111168
154,"Nevada County,  Arkansas",05099,70013,64729,67300,68738,71697
155,"Newton County,  Arkansas",05101,87150,94563,109662,118918,124036
156,"Ouachita County,  Arkansas",05103,69803,70096,75334,78069,81429
157,"Perry County,  Arkansas",05105,89311,100471,98815,110556,114994
158,"Phillips County,  Arkansas",05107,64337,69271,71160,73300,76455
159,"Pike County,  Arkansas",05109,78529,81143,85872,88022,91811
160,"Poinsett County,  Arkansas",05111,81659,80204,78690,81725,85709
161,"Polk County,  Arkansas",05113,88621,89918,94011,102952,107383
162,"Pope County,  Arkansas",05115,123103,130180,130426,131049,136689
163,"Prairie County,  Arkansas",05117,69803,67413,70952,69879,72886
164,"Pulaski County,  Arkansas",05119,158439,158463,170596,164222,170814
165,"Randolph County,  Arkansas",05121,77478,84137,85977,90407,94298
166,"St. Francis County,  Arkansas",05123,63916,63902,66048,66976,69858
167,"Saline County,  Arkansas",05125,152233,156233,163138,178782,185959
168,"Scott County,  Arkansas",05127,80737,72058,75960,79106,82511
169,"Searcy County,  Arkansas",05129,90724,92602,102254,107307,111925
170,"Sebastian County,  Arkansas",05131,123813,129603,145600,143935,152088
171,"Sevier County,  Arkansas",05133,71696,77839,82638,87400,91162
172,"Sharp County,  Arkansas",05135,78635,82485,84516,83668,87269
173,"Stone County,  Arkansas",05137,97452,110772,118844,125554,130957
174,"Union County,  Arkansas",05139,78424,82485,86394,89681,93541
175,"Van Buren County,  Arkansas",05141,94508,102100,106010,105440,109978
176,"Washington County,  Arkansas",05143,179355,181010,179396,201109,216113
177,"White County,  Arkansas",05145,107284,122231,128652,128457,133985
178,"Woodruff County,  Arkansas",05147,63075,65761,69074,68842,71805
179,"Yell County,  Arkansas",05149,99765,103545,115297,113424,118305
180,"Alameda County,  California",06001,751745,865993,832582,822332,826254
181,"Alpine County,  California",06003,376397,364143,369943,379519,408597
