state,county,2016,2017,2018,2019,2020,2021
  Alabama,Autauga County,143.74,72006.1,145.64,153716.0,161743.0,163383.0
  Alabama,Baldwin County,179.29,92565.99,190.25,209494.0,234357.0,238582.0
  Alabama,Barbour County,179.29,48762.36,190.25,100423.0,95277.0,96994.0
  Alabama,Bibb County,177.08,58871.18,193.46,101799.0,98445.0,99436.0
  Alabama,Blount County,177.08,68658.34,193.46,131548.0,135574.0,136938.0
  Alabama,Bullock County,179.29,36304.6,190.25,83776.0,73847.0,75179.0
  Alabama,Butler County,179.29,41741.86,190.25,95450.0,100739.0,102555.0
  Alabama,Calhoun County,159.91,58504.13,170.01,129654.0,131040.0,129528.0
  Alabama,Chambers County,179.29,42744.43,190.25,95559.0,101999.0,103838.0
  Alabama,Cherokee County,179.29,55572.16,190.25,133068.0,129627.0,131963.0
  Alabama,Chilton County,177.08,57382.91,193.46,107812.0,113827.0,114972.0
  Alabama,Choctaw County,179.29,32345.23,190.25,81290.0,77839.0,79242.0
  Alabama,Clarke County,179.29,45964.84,190.25,108963.0,118177.0,120307.0
  Alabama,Clay County,179.29,44486.45,190.25,110476.0,113239.0,115281.0
  Alabama,Cleburne County,179.29,57102.98,190.25,121070.0,122378.0,124585.0
  Alabama,Coffee County,179.29,75262.13,190.25,161174.0,154838.0,157629.0
  Alabama,Colbert County,164.38,54531.09,170.72,117664.0,129356.0,131930.0
  Alabama,Conecuh County,179.29,37096.47,190.25,82803.0,85087.0,86621.0
  Alabama,Coosa County,179.29,41424.81,190.25,95018.0,88238.0,89829.0
  Alabama,Covington County,179.29,49501.31,190.25,103233.0,102525.0,104373.0
  Alabama,Crenshaw County,179.29,37360.09,190.25,85938.0,85087.0,86621.0
  Alabama,Cullman County,179.29,66976.92,190.25,138041.0,144543.0,147149.0
  Alabama,Dale County,179.29,53777.22,190.25,119016.0,117651.0,119772.0
  Alabama,Dallas County,179.29,43113.9,190.25,89289.0,87503.0,89081.0
  Alabama,DeKalb County,179.29,52621.86,190.25,121070.0,121013.0,123194.0
  Alabama,Elmore County,143.74,80441.52,145.64,172840.0,184355.0,186225.0
  Alabama,Escambia County,179.29,49607.16,190.25,106152.0,104416.0,106298.0
  Alabama,Etowah County,182.97,50968.89,185.91,127089.0,139964.0,145926.0
  Alabama,Fayette County,179.29,39788.64,190.25,90586.0,92966.0,94642.0
  Alabama,Franklin County,179.29,45278.32,190.25,94910.0,99794.0,101593.0
  Alabama,Geneva County,162.33,41413.28,171.5,98297.0,104987.0,105015.0
  Alabama,Greene County,182.37,38214.96,195.83,68952.0,86338.0,87114.0
  Alabama,Hale County,182.37,47964.94,195.83,96263.0,95895.0,96757.0
  Alabama,Henry County,162.33,51505.84,171.5,122578.0,123612.0,123646.0
  Alabama,Houston County,162.33,68950.58,171.5,141321.0,161903.0,161947.0
  Alabama,Jackson County,179.29,52299.32,190.25,113827.0,110193.0,112180.0
  Alabama,Jefferson County,177.08,83973.12,193.46,176065.0,180341.0,182156.0
  Alabama,Lamar County,179.29,35935.12,190.25,83452.0,84982.0,86514.0
  Alabama,Lauderdale County,164.38,66869.44,170.72,163589.0,162231.0,165459.0
  Alabama,Lawrence County,157.77,51757.04,168.52,111355.0,118048.0,122856.0
  Alabama,Lee County,179.51,92862.94,198.27,192531.0,194385.0,197686.0
  Alabama,Limestone County,165.36,80893.45,175.47,177835.0,201480.0,205636.0
  Alabama,Lowndes County,143.74,34588.6,145.64,68907.0,73281.0,74025.0
  Alabama,Macon County,179.29,39524.51,190.25,85938.0,84877.0,86407.0
  Alabama,Madison County,165.36,94184.76,175.47,207726.0,212899.0,217290.0
  Alabama,Marengo County,179.29,48023.41,190.25,97288.0,88659.0,90257.0
