,state,fatalities,injuries,property_damage,crop_damage,total_damage,state_abbrv
0,Alaska,5,0,35.85,0.0,35.85,AK
1,Alabama,11,27,313.39,2.08,315.47,AL
2,Arkansas,2,32,313.81,1.41,315.21,AR
3,Arizona,45,8,3.95,0.0,3.95,AZ
4,California,46,253,41.49,0.0,41.49,CA
5,Colorado,12,9,295.98,30.0,325.98,CO
6,Connecticut,1,1,56.4,0.0,56.4,CT
7,Delaware,0,0,0.0,0.0,0.0,DE
8,Florida,19,29,361.3,90.03,451.33,FL
9,Georgia,17,48,33.95,0.01,33.96,GA
10,Hawaii,0,0,30.89,0.05,30.94,HI
11,Iowa,3,100,1.82,23.14,24.96,IA
12,Idaho,10,3,6.54,0.02,6.57,ID
13,Illinois,8,15,48.48,0.98,49.46,IL
14,Indiana,13,13,7.24,1.38,8.62,IN
15,Kansas,0,1,4.85,26.68,31.52,KS
16,Kentucky,8,11,28.17,0.49,28.66,KY
17,Louisiana,19,26,14667.25,0.03,14667.28,LA
18,Massachusetts,1,14,32.24,0.01,32.24,MA
19,Maryland,1,20,10.0,0.05,10.05,MD
20,Maine,1,1,0.53,18.7,19.23,ME
21,Michigan,5,9,276.98,0.0,276.98,MI
22,Minnesota,3,5,14.52,9.49,24.01,MN
23,Missouri,7,3,23.67,1.1,24.78,MO
24,Mississippi,15,125,248.16,24.1,272.27,MS
25,Montana,5,6,3.17,0.0,3.17,MT
26,North Carolina,29,25,79.9,0.0,79.9,NC
27,North Dakota,0,0,5.46,2.25,7.71,ND
28,Nebraska,0,2,6.68,24.6,31.27,NE
29,New Hampshire,1,6,2.46,61.5,63.96,NH
30,New Jersey,0,8,1.55,0.0,1.55,NJ
31,New Mexico,0,0,4.36,0.11,4.46,NM
32,Nevada,1,3,0.44,0.0,0.44,NV
33,New York,12,6,70.79,0.14,70.93,NY
34,Ohio,7,6,28.8,0.0,28.8,OH
35,Oklahoma,7,8,18.7,0.0,18.7,OK
36,Oregon,17,2,3671.66,0.0,3671.66,OR
37,Pennsylvania,8,26,13.15,0.01,13.16,PA
38,Rhode Island,0,1,0.29,0.0,0.29,RI
39,South Carolina,19,104,125.05,0.01,125.06,SC
40,South Dakota,1,3,3.57,8.77,12.34,SD
41,Tennessee,30,345,1636.43,0.83,1637.26,TN
42,Texas,23,64,2773.32,180.28,2953.6,TX
43,Utah,4,23,13.99,0.0,13.99,UT
44,Virginia,1,14,41.29,0.1,41.39,VA
45,Vermont,0,0,1.91,0.01,1.92,VT
46,Washington,5,11,1340.16,0.52,1340.68,WA
47,Wisconsin,11,1,79.28,0.26,79.54,WI
48,West Virginia,1,3,5.62,0.0,5.62,WV
49,Wyoming,0,0,0.03,0.0,0.03,WY
