City,State,Cost of Living Index,city_state,geocode,county
Abilene,TX,89.1,"Abilene, TX","Abilene, Taylor County, Texas, 79697, United States",Taylor County
Adrian,MI,90.5,"Adrian, MI","Adrian, Lenawee County, Michigan, 49221, United States",Lenawee County
Akron,OH,89.4,"Akron, OH","Akron, Summit County, Ohio, United States",Summit County
Alamogordo,NM,85.8,"Alamogordo, NM","Alamogordo, Otero County, New Mexico, 88310, United States",Otero County
Albany,GA,87.3,"Albany, GA","Albany, Dougherty County, Georgia, 31701, United States",Dougherty County
Albany,OR,105.4,"Albany, OR","Albany, Linn County, Oregon, United States",Linn County
Albany,NY,100.1,"Albany, NY","Albany, Albany County, New York, United States",Albany County
Albertville,AL,90.9,"Albertville, AL","Albertville, Marshall County, Alabama, United States",Marshall County
Albuquerque,NM,92.9,"Albuquerque, NM","Albuquerque, Bernalillo County, New Mexico, 87102, United States",Bernalillo County
Alexandria,LA,86.2,"Alexandria, LA","Alexandria, Rapides Parish, Louisiana, 71301, United States",
Allentown,PA,98.9,"Allentown, PA","Allentown, Lehigh County, Pennsylvania, United States",Lehigh County
Altoona,PA,90.8,"Altoona, PA","Altoona, Blair County, Pennsylvania, United States",Blair County
Amarillo,TX,88.2,"Amarillo, TX","Amarillo, Potter County, Texas, 79105, United States",Potter County
Ames,IA,91.5,"Ames, IA","Ames, Story County, Iowa, 50010, United States",Story County
Anchorage,AK,110.7,"Anchorage, AK","Anchorage, Alaska, 99501-2118, United States",
Ann Arbor,MI,99.3,"Ann Arbor, MI","Ann Arbor, Washtenaw County, Michigan, United States",Washtenaw County
Anniston,AL,85.7,"Anniston, AL","Anniston, Calhoun County, Alabama, 36202, United States",Calhoun County
Appleton,WI,90.7,"Appleton, WI","Appleton, Outagamie County, Wisconsin, United States",Outagamie County
Asheville,NC,103.3,"Asheville, NC","Asheville, Buncombe County, North Carolina, United States",Buncombe County
Ashtabula,OH,87.4,"Ashtabula, OH","Ashtabula, Ashtabula County, Ohio, 44004, United States",Ashtabula County
Athens,OH,88.5,"Athens, OH","Athens, Athens County, Ohio, 45701, United States",Athens County
Athens,TX,92.9,"Athens, TX","Athens, Henderson County, Texas, United States",Henderson County
Athens,GA,95.0,"Athens, GA","Athens-Clarke County Unified Government, Athens-Clarke County, Georgia, United States",Athens-Clarke County Unified Government
Atlanta,GA,100.3,"Atlanta, GA","Atlanta, Fulton County, Georgia, 30303-3506, United States",Fulton County
Atlantic City,NJ,102.0,"Atlantic City, NJ","Atlantic City, Atlantic County, New Jersey, 08404, United States",Atlantic County
Auburn,NY,93.7,"Auburn, NY","City of Auburn, Cayuga County, New York, 13021, United States",Cayuga County
Auburn,AL,91.9,"Auburn, AL","Auburn, Lee County, Alabama, 36949, United States",Lee County
Augusta,GA,91.6,"Augusta, GA","Augusta, Richmond County, Georgia, United States",Richmond County
Augusta,ME,100.0,"Augusta, ME","Augusta, Kennebec County, Maine, 04330, United States",Kennebec County
Austin,TX,106.6,"Austin, TX","Austin, Travis County, Texas, United States",Travis County
Bakersfield,CA,102.9,"Bakersfield, CA","Bakersfield, Kern County, California, United States",Kern County
Baltimore,MD,107.0,"Baltimore, MD","Baltimore, Maryland, 21203, United States",
Bangor,ME,98.0,"Bangor, ME","Bangor, Penobscot County, Maine, 04401, United States",Penobscot County
Barnstable Town,MA,122.4,"Barnstable Town, MA","Barnstable, Town of Lewisboro, Westchester County, New York, 10518, United States",Westchester County
Baton Rouge,LA,91.1,"Baton Rouge, LA","Baton Rouge, East Baton Rouge Parish, Louisiana, United States",
Battle Creek,MI,85.9,"Battle Creek, MI","Battle Creek, Calhoun County, Michigan, 49014:49017, United States",Calhoun County
Bay City,MI,85.4,"Bay City, MI","Bay City, Bay County, Michigan, 48708, United States",Bay County
Beaumont,TX,88.6,"Beaumont, TX","Beaumont, Jefferson County, Texas, 77701, United States",Jefferson County
Beaver Dam,WI,92.9,"Beaver Dam, WI","Beaver Dam, Dodge County, Wisconsin, 53916, United States",Dodge County
Beckley,WV,80.0,"Beckley, WV","Beckley, Raleigh County, West Virginia, 25801, United States",Raleigh County
Bellingham,WA,111.6,"Bellingham, WA","Bellingham, Whatcom County, Washington, 98225-3243, United States",Whatcom County
Bend,OR,115.9,"Bend, OR","Bend, Deschutes County, Oregon, United States",Deschutes County
Billings,MT,95.7,"Billings, MT","Billings, Yellowstone County, Montana, United States",Yellowstone County
