state,county,county_state,fips,2016,2017,2018,2019,2020,2021
Alabama,Autauga County,"Autauga County,  Alabama",01001,143.74,72006.1,145.64,153716.0,161743.0,163383.0
Alabama,Baldwin County,"Baldwin County,  Alabama",01003,179.29,92565.99,190.25,209494.0,234357.0,238582.0
Alabama,Barbour County,"Barbour County,  Alabama",01005,179.29,48762.36,190.25,100423.0,95277.0,96994.0
Alabama,Bibb County,"Bibb County,  Alabama",01007,177.08,58871.18,193.46,101799.0,98445.0,99436.0
Alabama,Blount County,"Blount County,  Alabama",01009,177.08,68658.34,193.46,131548.0,135574.0,136938.0
Alabama,Bullock County,"Bullock County,  Alabama",01011,179.29,36304.6,190.25,83776.0,73847.0,75179.0
Alabama,Butler County,"Butler County,  Alabama",01013,179.29,41741.86,190.25,95450.0,100739.0,102555.0
Alabama,Calhoun County,"Calhoun County,  Alabama",01015,159.91,58504.13,170.01,129654.0,131040.0,129528.0
Alabama,Chambers County,"Chambers County,  Alabama",01017,179.29,42744.43,190.25,95559.0,101999.0,103838.0
Alabama,Cherokee County,"Cherokee County,  Alabama",01019,179.29,55572.16,190.25,133068.0,129627.0,131963.0
Alabama,Chilton County,"Chilton County,  Alabama",01021,177.08,57382.91,193.46,107812.0,113827.0,114972.0
Alabama,Choctaw County,"Choctaw County,  Alabama",01023,179.29,32345.23,190.25,81290.0,77839.0,79242.0
Alabama,Clarke County,"Clarke County,  Alabama",01025,179.29,45964.84,190.25,108963.0,118177.0,120307.0
Alabama,Clay County,"Clay County,  Alabama",01027,179.29,44486.45,190.25,110476.0,113239.0,115281.0
Alabama,Cleburne County,"Cleburne County,  Alabama",01029,179.29,57102.98,190.25,121070.0,122378.0,124585.0
Alabama,Coffee County,"Coffee County,  Alabama",01031,179.29,75262.13,190.25,161174.0,154838.0,157629.0
Alabama,Colbert County,"Colbert County,  Alabama",01033,164.38,54531.09,170.72,117664.0,129356.0,131930.0
Alabama,Conecuh County,"Conecuh County,  Alabama",01035,179.29,37096.47,190.25,82803.0,85087.0,86621.0
Alabama,Coosa County,"Coosa County,  Alabama",01037,179.29,41424.81,190.25,95018.0,88238.0,89829.0
Alabama,Covington County,"Covington County,  Alabama",01039,179.29,49501.31,190.25,103233.0,102525.0,104373.0
Alabama,Crenshaw County,"Crenshaw County,  Alabama",01041,179.29,37360.09,190.25,85938.0,85087.0,86621.0
Alabama,Cullman County,"Cullman County,  Alabama",01043,179.29,66976.92,190.25,138041.0,144543.0,147149.0
Alabama,Dale County,"Dale County,  Alabama",01045,179.29,53777.22,190.25,119016.0,117651.0,119772.0
Alabama,Dallas County,"Dallas County,  Alabama",01047,179.29,43113.9,190.25,89289.0,87503.0,89081.0
Alabama,DeKalb County,"DeKalb County,  Alabama",01049,179.29,52621.86,190.25,121070.0,121013.0,123194.0
