,state,fatalities,injuries,property_damage,crop_damage,total_damage
0,AK (Alaska),2,0,6.53,0.0,6.53
1,AL (Alabama),14,35,31.59,0.0,31.59
2,AR (Arkansas),9,17,37.58,23.51,61.09
3,AZ (Arizona),13,8,11.15,0.0,11.15
4,CA (California),43,93,866.95,0.12,867.06
5,CO (Colorado),4,6,1426.48,0.29,1426.78
6,CT (Connecticut),2,3,1.44,0.01,1.45
7,DE (Delaware),0,5,0.0,0.0,0.0
8,FL (Florida),32,118,3922.58,634.85,4557.43
9,GA (Georgia),20,162,449.19,231.65,680.84
10,HI (Hawaii),2,4,0.23,0.01,0.24
11,IA (Iowa),1,9,14.31,37.2,51.52
12,ID (Idaho),1,0,171.09,0.01,171.1
13,IL (Illinois),9,35,61.31,1.88,63.19
14,IN (Indiana),1,32,15.31,0.6,15.91
15,KS (Kansas),5,12,9.58,3.33,12.9
16,KY (Kentucky),1,12,28.1,0.0,28.11
17,LA (Louisiana),7,55,107.61,0.03,107.64
18,MA (Massachusetts),2,6,4.94,0.01,4.95
19,MD (Maryland),1,18,1.1,0.0,1.1
20,ME (Maine),0,1,0.34,0.0,0.34
21,MI (Michigan),6,0,721.01,21.02,742.02
22,MN (Minnesota),3,6,19.22,4.4,23.62
23,MO (Missouri),13,130,155.73,0.47,156.2
24,MS (Mississippi),9,63,57.07,4.21,61.28
25,MT (Montana),1,1,1.16,0.0,1.17
26,NC (North Carolina),16,19,60.61,0.04,60.65
27,ND (North Dakota),0,3,10.05,7.35,17.39
28,NE (Nebraska),0,4,35.49,42.37,77.86
29,NH (New Hampshire),0,0,16.97,0.0,16.97
30,NJ (New Jersey),11,30,1.79,0.0,1.79
31,NM (New Mexico),4,15,18.7,0.0,18.7
32,NV (Nevada),83,4,19.95,0.0,19.95
33,NY (New York),2,19,52.19,0.04,52.24
34,OH (Ohio),2,19,70.01,1.64,71.65
35,OK (Oklahoma),5,60,130.01,0.0,130.01
36,OR (Oregon),8,1,101.21,0.0,101.21
37,PA (Pennsylvania),4,10,45.68,0.0,45.68
38,RI (Rhode Island),0,0,0.16,0.0,0.16
39,SC (South Carolina),4,13,5.53,750.01,755.54
40,SD (South Dakota),3,3,0.17,0.0,0.17
41,TN (Tennessee),2,8,27.16,0.01,27.17
42,TX (Texas),138,103,63402.83,105.33,63508.16
43,UT (Utah),0,19,25.68,0.0,25.68
44,VA (Virginia),0,1,13.78,0.04,13.82
45,VT (Vermont),0,1,14.53,0.11,14.64
46,WA (Washington),1,7,82.47,0.0,82.47
47,WI (Wisconsin),10,29,82.84,41.43,124.27
48,WV (West Virginia),2,2,6.88,0.0,6.88
49,WY (Wyoming),1,1,3.0,0.0,3.0
