,state,fatalities,injuries,property_damage,crop_damage,total_damage
0,AK (Alaska),5,0,35.85,0.0,35.85
1,AL (Alabama),11,27,313.39,2.08,315.47
2,AR (Arkansas),2,32,313.81,1.41,315.21
3,AZ (Arizona),45,8,3.95,0.0,3.95
4,CA (California),46,253,41.49,0.0,41.49
5,CO (Colorado),12,9,295.98,30.0,325.98
6,CT (Connecticut),1,1,56.4,0.0,56.4
7,DE (Delaware),0,0,0.0,0.0,0.0
8,FL (Florida),19,29,361.3,90.03,451.33
9,GA (Georgia),17,48,33.95,0.01,33.96
10,HI (Hawaii),0,0,30.89,0.05,30.94
11,IA (Iowa),3,100,1.82,23.14,24.96
12,ID (Idaho),10,3,6.54,0.02,6.57
13,IL (Illinois),8,15,48.48,0.98,49.46
14,IN (Indiana),13,13,7.24,1.38,8.62
15,KS (Kansas),0,1,4.85,26.68,31.52
16,KY (Kentucky),8,11,28.17,0.49,28.66
17,LA (Louisiana),19,26,14667.25,0.03,14667.28
18,MA (Massachusetts),1,14,32.24,0.01,32.24
19,MD (Maryland),1,20,10.0,0.05,10.05
20,ME (Maine),1,1,0.53,18.7,19.23
21,MI (Michigan),5,9,276.98,0.0,276.98
22,MN (Minnesota),3,5,14.52,9.49,24.01
23,MO (Missouri),7,3,23.67,1.1,24.78
24,MS (Mississippi),15,125,248.16,24.1,272.27
25,MT (Montana),5,6,3.17,0.0,3.17
26,NC (North Carolina),29,25,79.9,0.0,79.9
27,ND (North Dakota),0,0,5.46,2.25,7.71
28,NE (Nebraska),0,2,6.68,24.6,31.27
29,NH (New Hampshire),1,6,2.46,61.5,63.96
30,NJ (New Jersey),0,8,1.55,0.0,1.55
31,NM (New Mexico),0,0,4.36,0.11,4.46
32,NV (Nevada),1,3,0.44,0.0,0.44
33,NY (New York),12,6,70.79,0.14,70.93
34,OH (Ohio),7,6,28.8,0.0,28.8
35,OK (Oklahoma),7,8,18.7,0.0,18.7
36,OR (Oregon),17,2,3671.66,0.0,3671.66
37,PA (Pennsylvania),8,26,13.15,0.01,13.16
38,RI (Rhode Island),0,1,0.29,0.0,0.29
39,SC (South Carolina),19,104,125.05,0.01,125.06
40,SD (South Dakota),1,3,3.57,8.77,12.34
41,TN (Tennessee),30,345,1636.43,0.83,1637.26
42,TX (Texas),23,64,2773.32,180.28,2953.6
43,UT (Utah),4,23,13.99,0.0,13.99
44,VA (Virginia),1,14,41.29,0.1,41.39
45,VT (Vermont),0,0,1.91,0.01,1.92
46,WA (Washington),5,11,1340.16,0.52,1340.68
47,WI (Wisconsin),11,1,79.28,0.26,79.54
48,WV (West Virginia),1,3,5.62,0.0,5.62
49,WY (Wyoming),0,0,0.03,0.0,0.03
