"2015 Summary of Hazardous Weather Fatalities, Injuries, and Damage Costs by State",,,,,
State,Fatalities,Injuries,Property,Crop,Total
,,,Damage,Damage,Damage
,,,(million $),(million $),(million $)
AK (Alaska),7,8,25,0,25
AL (Alabama),13,17,14.79,0,14.79
AM (Atlantic South),3,0,0,0,0
AN (Atlantic North),4,5,0,0,0
AR (Arkansas),10,337,18.25,27.26,45.51
AS (American Samoa),1,0,13,10,23
AZ (Arizona),8,58,10.74,0.05,10.79
CA (California),12,40,108.51,0.2,108.71
CO (Colorado),3,21,8.21,1.82,10.03
CT (Connecticut),2,3,1.5,0,1.5
DC (District of Columbia),0,0,0.01,0,0.01
DE (Delaware),0,4,0.55,0,0.55
FL (Florida),28,81,26,1,27
GA (Georgia),5,21,33.51,0.01,33.53
GM (Gulf of Mexico),6,0,0.06,0,0.06
GU (Guam),19,56,37.16,5.61,42.77
HI (Hawaii),4,5,0.09,0.03,0.12
IA (Iowa),4,7,94.88,10.83,105.71
ID (Idaho),7,4,8.73,0,8.74
IL (Illinois),32,48,72.35,1.27,73.61
IN (Indiana),8,19,4.2,1.15,5.35
KS (Kansas),3,6,27.86,7,34.86
KY (Kentucky),22,31,17.23,0.1,17.33
LA (Louisiana),4,16,20.97,1.72,22.69
LC (Lake St.Clair),0,2,0,0,0
LE (Lake Erie),0,0,0,0,0
LH (Lake Huron),0,0,0,0,0
LM (Lake Michigan),0,0,0.01,0,0.01
LO (Lake Ontario),0,0,0.01,0,0.01
LS (Lake Superior),0,0,0,0,0
MA (Massachusetts),0,1,5.5,0,5.5
MD (Maryland),4,9,1.69,0,1.69
ME (Maine),0,2,0.99,0.05,1.04
MI (Michigan),0,9,79.92,0,79.92
MN (Minnesota),1,6,6.51,0.61,7.12
MO (Missouri),26,99,79.53,7.51,87.04
MS (Mississippi),13,67,20.23,8.84,29.07
MT (Montana),1,2,4.42,0,4.42
NC (North Carolina),5,25,25.62,0.01,25.63
Report generated: 5/13/2016 3:42:33 PM,,,,,5 / 6
ND (North Dakota),0,0,7.32,2.98,10.29
NE (Nebraska),2,0,235.08,72.58,307.66
NH (New Hampshire),2,34,0.37,0,0.37
NJ (New Jersey),6,44,65.6,0,65.6
NM (New Mexico),9,12,410.92,0.01,410.93
NV (Nevada),25,24,4.65,0,4.65
NY (New York),5,1,32.5,0.01,32.51
OH (Ohio),6,9,37.62,0.78,38.4
OK (Oklahoma),18,171,122.72,0,122.72
OR (Oregon),6,8,23.72,0,23.72
PA (Pennsylvania),15,15,20.54,0,20.54
PH (Hawaii Waters),1,1,0,0,0
PR (Puerto Rico),8,0,0.01,0,0.02
PZ (East Pacific),2,1,0.02,0,0.02
RI (Rhode Island),0,0,0.51,0,0.51
SC (South Carolina),10,11,152.7,24.84,177.53
SD (South Dakota),3,14,7.87,0,7.87
TN (Tennessee),19,8,78.69,2.11,80.8
TX (Texas),86,725,2139.03,455.95,2594.98
UT (Utah),24,31,2.77,0,2.77
VA (Virginia),2,3,19.02,0.51,19.53
VI (Virgin Islands),0,0,0,0,0
VT (Vermont),0,0,3.55,0,3.55
WA (Washington),8,7,28.94,0.02,28.96
WI (Wisconsin),4,8,8.73,0.01,8.74
WV (West Virginia),4,2,20.73,0,20.73
WY (Wyoming),2,5,10.35,0.25,10.6
Total,522,2143,4202.01,645.11,4847.12
Report generated: 5/13/2016 3:42:33 PM,,,,,6 / 6
