"2016 Summary of Hazardous Weather Fatalities, Injuries, and Damage Costs by State"
""
""
"State                          Fatalities     Injuries    Property           Crop          Total"
"Damage        Damage        Damage"
"(million $)   (million $)   (million $)"
"AK (Alaska)                              4          2          0.20          0.00            0.20"
"AL (Alabama)                             7         32          4.31          0.00            4.31"
"AM (Atlantic South)                      4          2          0.00          0.00            0.00"
"AN (Atlantic North)                      0          0          0.00          0.00            0.00"
"AR (Arkansas)                            2          8         13.38          0.20           13.58"
"AS (American Samoa)                      0          0          0.00          0.00            0.00"
"AZ (Arizona)                             11        36          6.33          4.60           10.93"
"CA (California)                          22        29         74.31          0.08           74.38"
"CO (Colorado)                            5         14          0.86          0.04            0.90"
"CT (Connecticut)                         0          4          1.75          0.00            1.75"
"DC (District of Columbia)                0          0          0.00          0.00            0.00"
"DE (Delaware)                            0         18          0.04          0.00            0.04"
"FL (Florida)                             31        53     3,116.31           0.01      3,116.32"
"GA (Georgia)                             11        25         35.25          3.00           38.25"
"GM (Gulf of Mexico)                      4          0          0.02          0.00            0.02"
"GU (Guam)                                3          3          0.12          0.30            0.42"
"HI (Hawaii)                              3          2          0.00          0.00            0.00"
"IA (Iowa)                                2         14         35.25          5.35           40.60"
"ID (Idaho)                               1          0          1.14          0.00            1.14"
"IL (Illinois)                            9         31         23.55          0.72           24.27"
"IN (Indiana)                             5         79         15.36          0.06           15.42"
"KS (Kansas)                              5         23         73.57          6.33           79.89"
"KY (Kentucky)                            3         30         19.55          0.06           19.61"
"LA (Louisiana)                           21       103     9,202.59           1.24      9,203.83"
"LC (Lake St.Clair)                       0          0          0.00          0.00            0.00"
"LE (Lake Erie)                           0          0          0.00          0.00            0.00"
"LH (Lake Huron)                          0          0          0.00          0.00            0.00"
"LM (Lake Michigan)                       0          0          0.00          0.00            0.00"
"LO (Lake Ontario)                        0          0          0.00          0.00            0.00"
"LS (Lake Superior)                       0          0          0.00          0.00            0.00"
"MA (Massachusetts)                       4          4          7.02          0.00            7.02"
"MD (Maryland)                            4         21         24.45          0.00           24.45"
"ME (Maine)                               0          0          1.93          0.00            1.93"
"MI (Michigan)                            2          0         46.44          4.20           50.63"
"MN (Minnesota)                           9         14         16.97          1.99           18.95"
"MO (Missouri)                            7        122         14.75          0.05           14.80"
"MS (Mississippi)                         4          9         37.19          4.44           41.63"
"MT (Montana)                             3          8          5.01          0.00            5.01"
"NC (North Carolina)                      38        21       832.14        173.45       1,005.58"
""
"Report generated: 5/11/2017 10:46:03 AM                                                        5/6"
" ND (North Dakota)                        0       2      87.14      6.26      93.40"
"NE (Nebraska)                            0       1      32.42     21.32      53.74"
"NH (New Hampshire)                       1       1        0.27     0.00        0.27"
"NJ (New Jersey)                          4      39        3.89     0.00        3.89"
"NM (New Mexico)                          3      14      19.44      0.00      19.44"
"NV (Nevada)                              53      3      81.09      0.00      81.09"
"NY (New York)                            7      47      17.02      0.00      17.02"
"OH (Ohio)                                1       4      21.27      0.07      21.33"
"OK (Oklahoma)                            13   171       20.29      0.03      20.32"
"OR (Oregon)                              1      11        7.26     0.00        7.26"
"PA (Pennsylvania)                        6       9      60.83      0.49      61.32"
"PH (Hawaii Waters)                       0       0        0.00     0.00        0.00"
"PR (Puerto Rico)                         5       1        1.05     0.00        1.05"
"PZ (East Pacific)                        0       0        0.00     0.00        0.00"
"RI (Rhode Island)                        0       1        0.90     0.00        0.90"
"SC (South Carolina)                      4      20     253.08      1.50     254.58"
"SD (South Dakota)                        1       7      10.55      0.00      10.55"
"SL (St.Lawrence River)                   0       0        0.00     0.00        0.00"
"TN (Tennessee)                           11     37      25.69      0.53      26.22"
"TX (Texas)                               54     29    3,609.54     2.35    3,611.89"
"UT (Utah)                                4      18      13.44      0.00      13.44"
"VA (Virginia)                            10     99      94.46      3.98      98.44"
"VI (Virgin Islands)                      0       0        0.00     0.00        0.00"
"VT (Vermont)                             1       0        3.94     0.00        3.94"
"WA (Washington)                          5       6        8.43     0.00        8.43"
"WI (Wisconsin)                           20     33      37.28      0.67      37.95"
"WV (West Virginia)                       24     12     172.54      0.00     172.54"
"WY (Wyoming)                             6       4        3.10     0.00        3.10"
""
"Total                               458       1276   18,194.70   243.29   18,438.00"
""
""
""
""
"Report generated: 5/11/2017 10:46:03 AM                                          6/6"
""
