"2017 Summary of Hazardous Weather Fatalities, Injuries, and Damage Costs by State"
""
""
"State                          Fatalities    Injuries     Property           Crop          Total"
"Damage        Damage        Damage"
"(million $)   (million $)   (million $)"
"AK (Alaska)                             2          0           6.53          0.00            6.53"
"AL (Alabama)                            14        35          31.59          0.00           31.59"
"AM (Atlantic South)                     3          0           0.00          0.00            0.00"
"AN (Atlantic North)                     1          0           0.01          0.00            0.01"
"AR (Arkansas)                           9         17          37.58         23.51           61.09"
"AS (American Samoa)                     0          0           0.45          0.01            0.46"
"AZ (Arizona)                            13         8          11.15          0.00           11.15"
"CA (California)                         43        93        866.95           0.12       867.06"
"CO (Colorado)                           4          6      1,426.48           0.29      1,426.78"
"CT (Connecticut)                        2          3           1.44          0.01            1.45"
"DC (District of Columbia)               0          1           0.00          0.00            0.00"
"DE (Delaware)                           0          5           0.00          0.00            0.00"
"FL (Florida)                            32       118      3,922.58        634.85       4,557.43"
"GA (Georgia)                            20       162        449.19        231.65        680.84"
"GM (Gulf of Mexico)                     1          0           0.02          0.00            0.02"
"GU (Guam)                               1          2           0.00          0.25            0.25"
"HI (Hawaii)                             2          4           0.23          0.01            0.24"
"IA (Iowa)                               1          9          14.31         37.20           51.52"
"ID (Idaho)                              1          0        171.09           0.01       171.10"
"IL (Illinois)                           9         35          61.31          1.88           63.19"
"IN (Indiana)                            1         32          15.31          0.60           15.91"
"KS (Kansas)                             5         12           9.58          3.33           12.90"
"KY (Kentucky)                           1         12          28.10          0.00           28.11"
"LA (Louisiana)                          7         55        107.61           0.03       107.64"
"LC (Lake St.Clair)                      0          0           0.00          0.00            0.00"
"LE (Lake Erie)                          0          0           0.00          0.00            0.00"
"LH (Lake Huron)                         0          0           0.00          0.00            0.00"
"LM (Lake Michigan)                      0          0           0.00          0.00            0.00"
"LO (Lake Ontario)                       0          0           0.00          0.00            0.00"
"LS (Lake Superior)                      0          0           0.01          0.00            0.01"
"MA (Massachusetts)                      2          6           4.94          0.01            4.95"
"MD (Maryland)                           1         18           1.10          0.00            1.10"
"ME (Maine)                              0          1           0.34          0.00            0.34"
"MI (Michigan)                           6          0        721.01          21.02       742.02"
"MN (Minnesota)                          3          6          19.22          4.40           23.62"
"MO (Missouri)                           13       130        155.73           0.47       156.20"
"MS (Mississippi)                        9         63          57.07          4.21           61.28"
"MT (Montana)                            1          1           1.16          0.00            1.17"
"NC (North Carolina)                     16        19          60.61          0.04           60.65"
""
"Report generated: 4/25/2018 3:36:29 PM                                                         5/6"
" ND (North Dakota)                         0      3      10.05        7.35      17.39"
"NE (Nebraska)                             0      4      35.49      42.37       77.86"
"NH (New Hampshire)                        0      0      16.97        0.00      16.97"
"NJ (New Jersey)                          11     30        1.79       0.00        1.79"
"NM (New Mexico)                           4     15      18.70        0.00      18.70"
"NV (Nevada)                              83      4      19.95        0.00      19.95"
"NY (New York)                             2     19      52.19        0.04      52.24"
"OH (Ohio)                                 2     19      70.01        1.64      71.65"
"OK (Oklahoma)                             5     60     130.01        0.00     130.01"
"OR (Oregon)                               8      1     101.21        0.00     101.21"
"PA (Pennsylvania)                         4     10      45.68        0.00      45.68"
"PH (Hawaii Waters)                        0      0        0.00       0.00        0.00"
"PR (Puerto Rico)                          5      0   15,027.22       1.00   15,028.22"
"PZ (East Pacific)                         0      0        0.00       0.00        0.00"
"RI (Rhode Island)                         0      0        0.16       0.00        0.16"
"SC (South Carolina)                       4     13        5.53    750.01      755.54"
"SD (South Dakota)                         3      3        0.17       0.00        0.17"
"SL (St.Lawrence River)                    0      0        0.00       0.00        0.00"
"TN (Tennessee)                            2      8      27.16        0.01      27.17"
"TX (Texas)                              138   103    63,402.83    105.33    63,508.16"
"UT (Utah)                                 0     19      25.68        0.00      25.68"
"VA (Virginia)                             0      1      13.78        0.04      13.82"
"VI (Virgin Islands)                       0      0        0.50       0.00        0.50"
"VT (Vermont)                              0      1      14.53        0.11      14.64"
"WA (Washington)                           1      7      82.47        0.00      82.47"
"WI (Wisconsin)                           10     29      82.84      41.43      124.27"
"WV (West Virginia)                        2      2        6.88       0.00        6.88"
"WY (Wyoming)                              1      1        3.00       0.00        3.00"
""
"Total                                   508   1205   87,377.50   1,913.21   89,290.72"
""
""
""
""
"Report generated: 4/25/2018 3:36:29 PM                                             6/6"
""
