Summary of Natural Hazard Statistics for,,,,,
,2019 in the United States,,,,
"This National Weather Service (NWS) report summarizes fatalities, injuries and damages caused by severe weather",,,,,
"in 2019. The NWS Office of Climate, Water and Weather Services and the National Climatic Data Center compiled",,,,,
"this Summary of U.S. Natural Hazard Statistics from Storm Data, a report comprising statistics from NWS forecast",,,,,
"offices in the 50 states, Puerto Rico, Guam, and the Virgin Islands.",,,,,
"Summary of 2019 Weather Events, Fatalities, Injuries, and Damage Costs",,,,,
Weather Event,Fatalities,Injuries,Property,Crop,Total
,,,Damage,Damage,Damage
,,,(million $),(million $),(million $)
Convection,,,,,
Lightning,20,100,41.15,0.01,41.16
Tornado,42,537,3102.5,5.68,3108.18
Thunderstorm Wind,38,202,173.04,14.63,187.67
Hail,0,1,177.66,19.27,196.93
Extreme Temperatures,,,,,
Cold,35,1,0.16,0,0.16
Heat,187,165,1.5,0,1.5
Flood,,,,,
Flash Flood,43,28,1440.92,116.04,1556.96
River Flood,49,17,977.45,1215.39,2192.84
Marine,,,,,
Coastal Storm,0,0,58.47,0,58.47
Tsunami,0,0,0,0,0
Rip Current,74,19,0.01,0.01,0.02
Tropical Cyclones,,,,,
Tropical Storm / Hurricane,0,2,24.08,0,24.08
Winter,,,,,
Winter Storm,13,61,61.06,2.23,63.29
Ice,0,0,29.04,0,29.04
Avalanche,14,3,0.21,0,0.21
Report generated: 9/21/2021 8:26:24 AM,,,,,1 / 6
Other,,,,,
Drought,0,0,0.2,16.77,16.97
Dust Storm,0,0,0.1,0,0.1
Dust Devil,0,5,0.07,0,0.07
Rain,0,0,1.02,15,16.02
Fog,0,0,0.52,0,0.52
High Wind,13,34,109.5,0.09,109.58
Waterspout,0,0,0.01,0,0.01
Fire Weather,3,64,28.13,0.07,28.2
Mud Slide,1,0,25.03,0,25.03
Volcanic Ash,0,0,0,0,0
Miscellaneous,2,0,0.01,0,0.01
Total,534,1239,6251.83,1405.19,7657.01
Report generated: 9/21/2021 8:26:24 AM,,,,,2 / 6
Summary of 2019 Natural Hazard Statistics,
Report generated: 9/21/2021 8:26:24 AM,3 / 6
2019 Summary of Fatalities for All Hazards by Age and Gender,,,,,
Female,,Male,Unknown,Total,Percent
0 to 9,14,18,3,35,6.55
10 to 19,4,31,0,35,6.55
20 to 29,15,37,0,52,9.74
30 to 39,10,39,0,49,9.18
40 to 49,10,31,0,41,7.68
50 to 59,19,50,0,69,12.92
60 to 69,12,38,0,50,9.36
70 to 79,9,17,0,26,4.87
80 to 89,6,10,0,16,3
90 to --,0,2,0,2,0.37
Unknown,5,16,138,159,29.78
Total,104,289,141,534,
Percent,19.48,54.12,26.4,,
,2019 Monthly Weather Related Fatalities,,,,
Report generated: 9/21/2021 8:26:24 AM,,,,,4 / 6
