"State","coast"
"Alabama","Gulf Coast"
"Alaska","Pacific Ocean"
"Arizona","None"
"Arkansas","None"
"California","Pacific Ocean"
"Colorado","None"
"Connecticut","Atlantic Ocean"
"Delaware","Atlantic Ocean"
"Florida","Atlantic Ocean/Gulf Coast"
"Georgia","Atlantic Ocean"
"Hawaii","Pacific Ocean"
"Idaho","None"
"Illinois","Great Lakes Coast"
"Indiana","Great Lakes Coast"
"Iowa","None"
"Kansas","None"
"Kentucky","None"
"Louisiana","Gulf Coast"
"Maine","Atlantic Ocean"
"Maryland","Atlantic Ocean"
"Massachusetts","Atlantic Ocean"
"Michigan","Great Lakes Coast"
"Minnesota","Great Lakes Coast"
"Mississippi","Gulf Coast"
"Missouri","None"
"Montana","None"
"Nebraska","None"
"Nevada","None"
"New Hampshire","Atlantic Ocean"
"New Jersey","Atlantic Ocean"
"New Mexico","None"
"New York","Atlantic Ocean/Great Lakes Coast"
"North Carolina","Atlantic Ocean"
"North Dakota","None"
"Ohio","Great Lakes Coast"
"Oklahoma","None"
"Oregon","Pacific Ocean"
"Pennsylvania","Great Lakes Coast"
"Rhode Island","Atlantic Ocean"
"South Carolina","Atlantic Ocean"
"South Dakota","None"
"Tennessee","None"
"Texas","Gulf Coast"
"Utah","None"
"Vermont","None"
"Virginia","Atlantic Ocean"
"Washington","Pacific Ocean"
"West Virginia","None"
"Wisconsin","Great Lakes Coast"
"Wyoming","None"
